18.0,8,307.0,130,3504.0,12.0,70,1.0,chevrolet chevelle malibu
15.0,8,350.0,165,3693.0,11.5,70,1.0,buick skylark 320
18.0,8,318.0,150,3436.0,11.0,70,1.0,plymouth satellite
16.0,8,304.0,150,3433.0,12.0,70,1.0,amc rebel sst
17.0,8,302.0,140,3449.0,10.5,70,1.0,ford torino
15.0,8,429.0,,4341.0,10.0,70,1.0,ford galaxie 500
14.0,8,454.0,220,4354.0,9.0,70,1.0,chevrolet impala
14.0,8,440.0,215,4312.0,8.5,70,1.0,plymouth fury iii
14.0,8,455.0,225,4425.0,10.0,70,1.0,pontiac catalina
15.0,8,390.0,190,3850.0,8.5,70,1.0,amc ambassador dpl
15.0,8,383.0,170,3563.0,10.0,70,1.0,dodge challenger se
14.0,8,340.0,160,3609.0,8.0,70,1.0,plymouth 'cuda 340
15.0,8,400.0,,3761.0,9.5,70,1.0,chevrolet monte carlo
14.0,8,455.0,225,3086.0,10.0,70,1.0,buick estate wagon (sw)
24.0,4,113.0,95,2372.0,15.0,70,3.0,toyota corona mark ii
22.0,6,198.0,95,2833.0,15.5,70,1.0,plymouth duster
18.0,6,199.0,97,2774.0,15.5,70,1.0,amc hornet
,6,200.0,85,2587.0,16.0,70,1.0,ford maverick
27.0,4,97.0,88,2130.0,14.5,70,3.0,datsun pl510
26.0,4,97.0,46,1835.0,20.5,70,2.0,volkswagen 1131 deluxe sedan
25.0,4,110.0,87,2672.0,17.5,70,2.0,peugeot 504
24.0,4,107.0,90,2430.0,14.5,70,2.0,audi 100 ls
25.0,4,104.0,95,,17.5,70,2.0,saab 99e
26.0,4,121.0,113,2234.0,12.5,70,2.0,bmw 2002
21.0,6,199.0,90,2648.0,15.0,70,1.0,amc gremlin
10.0,8,360.0,215,4615.0,14.0,70,1.0,ford f250
10.0,8,307.0,200,4376.0,15.0,70,1.0,chevy c20
11.0,8,318.0,210,4382.0,13.5,70,1.0,dodge d200
9.0,8,304.0,193,4732.0,18.5,70,1.0,hi 1200d
27.0,4,97.0,88,2130.0,14.5,71,3.0,datsun pl510
28.0,4,140.0,90,2264.0,15.5,71,1.0,chevrolet vega 2300
25.0,4,113.0,95,2228.0,14.0,71,3.0,toyota corona
25.0,4,98.0,,2046.0,19.0,71,1.0,ford pinto
19.0,6,232.0,100,2634.0,13.0,71,1.0,amc gremlin
16.0,6,225.0,105,3439.0,15.5,71,1.0,plymouth satellite custom
17.0,6,250.0,100,3329.0,15.5,71,1.0,chevrolet chevelle malibu
19.0,6,250.0,88,3302.0,15.5,71,1.0,ford torino 500
18.0,6,232.0,100,3288.0,15.5,71,1.0,amc matador
14.0,8,350.0,165,4209.0,12.0,71,1.0,chevrolet impala
14.0,8,400.0,175,4464.0,11.5,71,1.0,pontiac catalina brougham
14.0,8,351.0,153,4154.0,,71,1.0,ford galaxie 500
14.0,8,318.0,150,4096.0,13.0,71,1.0,plymouth fury iii
12.0,8,383.0,180,4955.0,11.5,71,1.0,dodge monaco (sw)
13.0,8,400.0,170,4746.0,12.0,71,1.0,ford country squire (sw)
13.0,8,400.0,175,5140.0,12.0,71,1.0,pontiac safari (sw)
18.0,6,258.0,110,2962.0,13.5,71,1.0,amc hornet sportabout (sw)
22.0,4,140.0,72,2408.0,19.0,71,1.0,chevrolet vega (sw)
19.0,6,250.0,100,3282.0,15.0,71,1.0,pontiac firebird
18.0,6,250.0,88,3139.0,14.5,71,1.0,ford mustang
23.0,4,122.0,86,2220.0,14.0,71,1.0,mercury capri 2000
28.0,4,116.0,90,2123.0,14.0,71,2.0,opel 1900
30.0,4,79.0,70,2074.0,19.5,71,2.0,peugeot 304
30.0,4,88.0,76,2065.0,14.5,71,2.0,fiat 124b
31.0,4,71.0,65,1773.0,19.0,71,3.0,toyota corolla 1200
35.0,4,72.0,69,1613.0,18.0,71,3.0,datsun 1200
27.0,4,97.0,60,1834.0,19.0,71,2.0,volkswagen model 111
26.0,4,91.0,70,1955.0,20.5,71,1.0,plymouth cricket
24.0,4,113.0,95,2278.0,15.5,72,3.0,toyota corona hardtop
25.0,4,97.5,80,2126.0,17.0,72,1.0,dodge colt hardtop
23.0,4,97.0,54,2254.0,23.5,72,2.0,volkswagen type 3
20.0,4,140.0,90,2408.0,19.5,72,1.0,chevrolet vega
21.0,4,122.0,86,2226.0,16.5,72,1.0,ford pinto runabout
13.0,8,350.0,165,4274.0,12.0,72,1.0,chevrolet impala
14.0,8,,175,4385.0,12.0,72,1.0,pontiac catalina
15.0,8,318.0,150,4135.0,13.5,72,1.0,plymouth fury iii
14.0,8,351.0,153,4129.0,13.0,72,1.0,ford galaxie 500
17.0,8,304.0,150,3672.0,11.5,72,1.0,amc ambassador sst
11.0,8,429.0,208,4633.0,11.0,72,1.0,mercury marquis
13.0,8,350.0,155,4502.0,13.5,72,1.0,buick lesabre custom
12.0,8,350.0,160,4456.0,13.5,72,1.0,oldsmobile delta 88 royale
13.0,8,400.0,190,4422.0,12.5,72,1.0,chrysler newport royal
19.0,3,70.0,97,2330.0,13.5,72,3.0,mazda rx2 coupe
15.0,8,304.0,150,3892.0,12.5,72,1.0,amc matador (sw)
13.0,8,307.0,130,4098.0,14.0,72,1.0,chevrolet chevelle concours (sw)
,8,302.0,140,4294.0,16.0,72,1.0,ford gran torino (sw)
14.0,8,318.0,150,4077.0,14.0,72,1.0,plymouth satellite custom (sw)
18.0,4,121.0,112,2933.0,14.5,72,2.0,volvo 145e (sw)
22.0,4,121.0,76,2511.0,18.0,72,2.0,volkswagen 411 (sw)
21.0,4,120.0,87,2979.0,19.5,72,2.0,peugeot 504 (sw)
26.0,4,96.0,69,2189.0,18.0,72,2.0,renault 12 (sw)
22.0,4,122.0,86,2395.0,16.0,72,1.0,ford pinto (sw)
28.0,4,97.0,92,2288.0,17.0,72,3.0,datsun 510 (sw)
23.0,4,120.0,97,2506.0,14.5,72,3.0,toyouta corona mark ii (sw)
28.0,4,98.0,80,2164.0,15.0,72,1.0,dodge colt (sw)
27.0,4,97.0,88,2100.0,16.5,72,3.0,toyota corolla 1600 (sw)
13.0,8,350.0,175,4100.0,13.0,73,1.0,buick century 350
14.0,8,304.0,150,3672.0,11.5,73,1.0,amc matador
13.0,8,350.0,145,3988.0,13.0,73,1.0,chevrolet malibu
14.0,8,302.0,,4042.0,14.5,73,1.0,ford gran torino
15.0,8,318.0,150,3777.0,12.5,73,1.0,dodge coronet custom
12.0,8,429.0,198,4952.0,11.5,73,1.0,mercury marquis brougham
13.0,8,400.0,150,4464.0,12.0,73,1.0,chevrolet caprice classic
13.0,8,351.0,158,4363.0,13.0,73,1.0,ford ltd
14.0,8,318.0,150,4237.0,14.5,73,1.0,plymouth fury gran sedan
13.0,8,440.0,215,4735.0,11.0,73,1.0,chrysler new yorker brougham
12.0,8,455.0,225,4951.0,11.0,73,1.0,buick electra 225 custom
13.0,8,360.0,175,3821.0,11.0,73,1.0,amc ambassador brougham
18.0,6,225.0,105,3121.0,16.5,73,1.0,plymouth valiant
16.0,6,250.0,100,3278.0,18.0,73,1.0,chevrolet nova custom
18.0,6,232.0,100,2945.0,16.0,73,1.0,amc hornet
18.0,6,250.0,88,3021.0,16.5,73,1.0,ford maverick
23.0,6,198.0,95,,16.0,73,1.0,plymouth duster
26.0,4,97.0,46,1950.0,21.0,73,2.0,volkswagen super beetle
11.0,8,400.0,150,4997.0,14.0,73,1.0,chevrolet impala
12.0,8,400.0,167,4906.0,12.5,73,1.0,ford country
13.0,8,360.0,170,4654.0,13.0,73,1.0,plymouth custom suburb
12.0,8,350.0,180,4499.0,12.5,73,1.0,oldsmobile vista cruiser
18.0,6,232.0,100,2789.0,15.0,73,1.0,amc gremlin
20.0,4,97.0,88,2279.0,19.0,73,3.0,toyota carina
21.0,4,140.0,72,2401.0,19.5,73,1.0,chevrolet vega
22.0,4,108.0,94,2379.0,16.5,73,3.0,datsun 610
18.0,3,70.0,90,2124.0,13.5,73,3.0,maxda rx3
19.0,4,122.0,85,2310.0,18.5,73,1.0,ford pinto
21.0,6,155.0,107,2472.0,14.0,73,1.0,mercury capri v6
26.0,4,98.0,90,2265.0,15.5,73,2.0,fiat 124 sport coupe
15.0,8,350.0,145,4082.0,13.0,73,1.0,chevrolet monte carlo s
16.0,8,400.0,230,4278.0,9.5,73,1.0,pontiac grand prix
29.0,4,68.0,49,1867.0,19.5,73,2.0,fiat 128
24.0,4,116.0,75,2158.0,15.5,73,2.0,opel manta
20.0,4,114.0,91,2582.0,14.0,73,2.0,audi 100ls
19.0,4,121.0,112,2868.0,15.5,73,2.0,
15.0,8,318.0,150,3399.0,11.0,73,1.0,dodge dart custom
24.0,4,121.0,110,2660.0,14.0,73,2.0,saab 99le
20.0,6,156.0,122,2807.0,13.5,73,3.0,toyota mark ii
11.0,8,350.0,180,3664.0,11.0,73,1.0,oldsmobile omega
20.0,6,198.0,95,3102.0,16.5,74,1.0,plymouth duster
21.0,6,200.0,?,2875.0,17.0,74,1.0,ford maverick
19.0,6,232.0,100,2901.0,16.0,74,1.0,amc hornet
15.0,6,250.0,100,3336.0,17.0,74,1.0,chevrolet nova
31.0,4,79.0,67,1950.0,19.0,74,3.0,datsun b210
26.0,4,122.0,80,2451.0,16.5,74,1.0,ford pinto
32.0,4,71.0,65,1836.0,21.0,74,3.0,toyota corolla 1200
25.0,4,140.0,75,2542.0,17.0,74,1.0,chevrolet vega
16.0,6,250.0,100,3781.0,17.0,74,1.0,chevrolet chevelle malibu classic
16.0,6,258.0,110,3632.0,18.0,74,1.0,amc matador
18.0,6,225.0,105,3613.0,16.5,74,1.0,plymouth satellite sebring
16.0,8,302.0,140,4141.0,14.0,74,1.0,ford gran torino
13.0,8,350.0,150,4699.0,14.5,74,1.0,buick century luxus (sw)
14.0,8,318.0,150,4457.0,13.5,74,1.0,dodge coronet custom (sw)
14.0,8,302.0,140,4638.0,16.0,74,1.0,ford gran torino (sw)
14.0,8,304.0,150,4257.0,15.5,74,1.0,amc matador (sw)
29.0,4,98.0,83,2219.0,16.5,74,2.0,audi fox
26.0,4,79.0,67,1963.0,15.5,74,2.0,volkswagen dasher
26.0,4,97.0,78,2300.0,14.5,74,2.0,opel manta
31.0,4,76.0,52,1649.0,16.5,74,3.0,toyota corona
,4,83.0,61,2003.0,19.0,74,3.0,datsun 710
28.0,4,90.0,75,2125.0,14.5,74,1.0,dodge colt
24.0,4,90.0,75,2108.0,15.5,74,2.0,fiat 128
26.0,4,116.0,75,2246.0,14.0,74,2.0,fiat 124 tc
24.0,4,120.0,97,2489.0,15.0,74,3.0,honda civic
26.0,4,108.0,93,2391.0,15.5,74,3.0,subaru
31.0,4,79.0,67,2000.0,16.0,74,2.0,fiat x1.9
19.0,6,225.0,95,3264.0,16.0,75,1.0,plymouth valiant custom
18.0,6,250.0,105,3459.0,16.0,75,1.0,chevrolet nova
15.0,6,250.0,72,3432.0,21.0,75,1.0,mercury monarch
15.0,6,250.0,72,3158.0,19.5,75,1.0,ford maverick
16.0,8,400.0,170,4668.0,,75,1.0,pontiac catalina
15.0,8,350.0,145,4440.0,14.0,75,1.0,chevrolet bel air
16.0,8,318.0,150,4498.0,14.5,75,1.0,plymouth grand fury
14.0,8,351.0,148,4657.0,13.5,75,1.0,ford ltd
17.0,6,231.0,110,3907.0,21.0,75,1.0,buick century
16.0,6,250.0,105,3897.0,18.5,75,1.0,chevroelt chevelle malibu
15.0,6,258.0,110,3730.0,19.0,75,1.0,amc matador
18.0,6,225.0,95,3785.0,19.0,75,1.0,plymouth fury
21.0,6,231.0,110,3039.0,15.0,75,1.0,buick skyhawk
20.0,8,262.0,110,3221.0,13.5,75,1.0,chevrolet monza 2+2
13.0,8,302.0,129,3169.0,12.0,75,1.0,ford mustang ii
29.0,4,97.0,75,2171.0,16.0,75,3.0,toyota corolla
23.0,4,140.0,83,2639.0,17.0,75,1.0,ford pinto
20.0,6,232.0,100,2914.0,16.0,75,1.0,amc gremlin
23.0,4,140.0,78,2592.0,18.5,75,1.0,pontiac astro
24.0,4,134.0,96,2702.0,13.5,75,3.0,toyota corona
25.0,4,90.0,71,2223.0,16.5,75,2.0,volkswagen dasher
24.0,4,119.0,97,2545.0,17.0,75,3.0,datsun 710
18.0,6,171.0,97,2984.0,14.5,75,1.0,ford pinto
29.0,4,90.0,70,1937.0,14.0,75,2.0,volkswagen rabbit
19.0,6,232.0,90,3211.0,17.0,75,1.0,amc pacer
23.0,4,115.0,95,2694.0,15.0,75,2.0,audi 100ls
23.0,4,120.0,88,2957.0,17.0,75,2.0,peugeot 504
22.0,4,121.0,98,2945.0,14.5,75,2.0,volvo 244dl
25.0,4,121.0,115,2671.0,13.5,75,2.0,saab 99le
33.0,4,91.0,53,1795.0,17.5,75,3.0,honda civic cvcc
28.0,4,107.0,86,2464.0,15.5,76,2.0,fiat 131
25.0,4,116.0,81,2220.0,16.9,76,2.0,opel 1900
25.0,4,140.0,92,2572.0,14.9,76,1.0,capri ii
26.0,4,98.0,79,2255.0,17.7,76,1.0,
27.0,4,101.0,83,2202.0,15.3,76,2.0,renault 12tl
17.5,8,305.0,140,4215.0,13.0,76,1.0,chevrolet chevelle malibu classic
16.0,8,318.0,150,4190.0,13.0,76,1.0,dodge coronet brougham
15.5,8,304.0,120,3962.0,13.9,76,1.0,amc matador
14.5,8,351.0,152,4215.0,12.8,76,1.0,ford gran torino
22.0,6,225.0,100,3233.0,15.4,76,1.0,plymouth valiant
22.0,6,250.0,105,3353.0,14.5,76,1.0,chevrolet nova
24.0,6,200.0,81,3012.0,17.6,76,1.0,ford maverick
22.5,6,232.0,90,3085.0,17.6,76,1.0,amc hornet
29.0,4,85.0,52,2035.0,22.2,76,1.0,chevrolet chevette
24.5,4,98.0,60,2164.0,22.1,76,1.0,chevrolet woody
29.0,4,90.0,70,1937.0,14.2,76,2.0,vw rabbit
33.0,4,91.0,53,1795.0,17.4,76,3.0,honda civic
20.0,6,225.0,100,3651.0,17.7,76,1.0,dodge aspen se
18.0,6,250.0,78,3574.0,21.0,76,1.0,ford granada ghia
18.5,6,250.0,110,3645.0,16.2,76,1.0,pontiac ventura sj
17.5,6,258.0,95,3193.0,17.8,76,1.0,amc pacer d/l
29.5,4,97.0,71,1825.0,12.2,76,2.0,volkswagen rabbit
32.0,4,85.0,70,1990.0,17.0,76,3.0,datsun b-210
